Nome;Squadra;Qt.A
Sommer;Inter;19
Di Gregorio;Juventus;18
Meret;Napoli;15
Maignan;Milan;14
Carnesecchi;Atalanta;13
Svilar;Roma;13
Milinkovic-Savic V.;Torino;12
Provedel;Lazio;12
Terracciano;Fiorentina;12
Skorupski;Bologna;11
Gollini;Genoa;10
De Gea;Fiorentina;10
Scuffet;Cagliari;8
Audero;Como;8
Falcone;Lecce;8
Turati;Monza;8
Okoye;Udinese;8
Joronen;Venezia;7
Montipo';Verona;7
Suzuki;Parma;7
Vasquez D.;Empoli;6
Pizzignacco;Monza;3
Perin;Juventus;2
Reina;Como;2
Caprile;Napoli;2
Martinez Jo.;Inter;2
Sportiello;Milan;1
Leali;Genoa;1
Donnarumma An.;Torino;1
Sommariva;Genoa;1
Perilli;Verona;1
Padelli;Udinese;1
Perisan;Empoli;1
Di Gennaro;Inter;1
Pinsoglio;Juventus;1
Cragno;Monza;1
Silvestri;Udinese;1
Rossi F.;Atalanta;1
Fruchtl;Lecce;1
Ravaglia F.;Bologna;1
Vigorito;Como;1
Contini;Napoli;1
Rui Patricio;Atalanta;1
Brancolini;Empoli;1
Berardi A.;Verona;1
Ciocci;Cagliari;1
Paleari;Torino;1
Ryan;Roma;1
Bertinato;Venezia;1
Bagnolini;Bologna;1
Martinelli T.;Fiorentina;1
Stankovic F.;Venezia;1
Christensen O.;Fiorentina;1
Furlanetto;Lazio;1
Mandas;Lazio;1
Nava;Milan;1
Samooja;Lecce;1
Sherri;Cagliari;1
Chichizola;Parma;1
Corvi;Parma;1
Grandi;Venezia;1
Torriani;Milan;1
Marin Re.;Roma;1
Sava;Udinese;1
Dimarco;Inter;24
Hernandez T.;Milan;20
Di Lorenzo;Napoli;18
Bastoni;Inter;16
Buongiorno;Napoli;16
Bremer;Juventus;16
Dumfries;Inter;16
Pavard;Inter;14
Spinazzola;Napoli;13
Danilo;Juventus;13
Tomori;Milan;13
Bellanova;Atalanta;13
Ruggeri;Atalanta;12
Mancini;Roma;11
Rrahmani;Napoli;11
Emerson Royal;Milan;11
Romagnoli;Lazio;10
Acerbi;Inter;10
Zappacosta;Atalanta;10
Pavlovic;Milan;10
Martinez Quarta;Fiorentina;10
Cambiaso;Juventus;10
Kossounou;Atalanta;10
Luperto;Cagliari;9
Darmian;Inter;9
Sergi Roberto;Como;9
Angelino;Roma;9
Vasquez;Genoa;9
Bijol;Udinese;9
Carlos Augusto;Inter;9
Dodo';Fiorentina;9
Biraghi;Fiorentina;8
Djimsiti;Atalanta;8
Varane;Como;8
Kolasinac;Atalanta;8
Mina;Cagliari;8
N'Dicka;Roma;8
Miranda J.;Bologna;8
Parisi;Fiorentina;8
Casale;Lazio;8
Pongracic;Fiorentina;8
Perez N.;Udinese;8
Holm;Bologna;8
Gatti;Juventus;8
Baschirotto;Lecce;8
Hien;Atalanta;8
Posch;Bologna;8
Dossena;Como;8
Dorgu;Lecce;8
Coco;Torino;8
De Vrij;Inter;7
Sabelli;Genoa;7
Bani;Genoa;7
Smalling;Roma;7
Ranieri L.;Fiorentina;7
Kyriakopoulos;Monza;7
Mari';Monza;7
Erlic;Bologna;7
Vojvoda;Torino;7
Ismajli;Empoli;7
Godfrey;Atalanta;7
Scalvini;Atalanta;7
Zanoli;Genoa;7
Olivera;Napoli;7
Valeri;Parma;7
Beukema;Bologna;7
Marin R.;Napoli;7
Sosa B.;Torino;7
Masina;Torino;6
Izzo;Monza;6
Calabria;Milan;6
Pezzella Giu.;Empoli;6
Marusic;Lazio;6
Lazzari;Lazio;6
Zortea;Cagliari;6
Zappa;Cagliari;6
Moreno Alb.;Como;6
Tavares N.;Lazio;6
Viti;Empoli;6
De Winter;Genoa;6
Cabal;Juventus;6
Schuurs;Torino;6
Lucumi';Bologna;6
Ehizibue;Udinese;6
Pedersen;Torino;6
Tchatchoua;Verona;6
Giannetti L.;Udinese;6
Circati;Parma;6
Delprato;Parma;6
Patric;Lazio;5
Zampano;Venezia;5
Palomino;Cagliari;5
Martin;Genoa;5
Lykogiannis;Bologna;5
Lazaro;Torino;5
Augello;Cagliari;5
Candela;Venezia;5
Dawidowicz;Verona;5
Gallo;Lecce;5
Caldirola;Monza;5
Kamara H.;Udinese;5
Guilbert;Lecce;5
Birindelli;Monza;5
Azzi;Cagliari;5
Kayode;Fiorentina;5
Vogliacco;Genoa;5
Frese;Verona;5
Abdulhamid;Roma;5
Hysaj;Lazio;4
Juan Jesus;Napoli;4
Toloi;Atalanta;4
Cuadrado;Atalanta;4
Pereira P.;Monza;4
Magnani;Verona;4
Walukiewicz;Empoli;4
Gabbia;Milan;4
Celik;Roma;4
Carboni A.;Monza;4
Kalulu;Juventus;4
Bakker;Atalanta;4
Osorio;Parma;4
Stojanovic;Empoli;4
Ebuehi;Empoli;4
Mazzocchi;Napoli;4
Svoboda;Venezia;4
Coppola D.;Verona;4
Gila;Lazio;4
Bisseck;Inter;4
Wieteska;Cagliari;4
Kristensen T.;Udinese;4
Idzes;Venezia;4
Sverko;Venezia;4
Savona;Juventus;4
Norton-Cuffy;Genoa;4
Mario Rui;Napoli;3
D'Ambrosio;Monza;3
De Silvestri;Bologna;3
Faraoni;Verona;3
Ceccherini;Verona;3
Pellegrini Lu.;Lazio;3
Kabasele;Udinese;3
Valenti;Parma;3
Balogh;Parma;3
Altare;Venezia;3
Cacace;Empoli;3
Ebosele;Udinese;3
Thiaw;Milan;3
Zemura;Udinese;3
Hatzidiakos;Cagliari;3
Gaspar K.;Lecce;3
Dahl;Roma;3
Iovine;Como;3
Coulibaly W.;Parma;3
Pelmard;Lecce;3
Schingtienne;Venezia;3
Kempf;Como;3
Barba;Como;2
Goldaniga;Como;2
Bettella;Monza;2
Sala M.;Como;2
Djalo';Juventus;2
Obert;Cagliari;2
Okou;Verona;2
Comuzzo;Fiorentina;2
Esteves G.;Udinese;2
Sagrado;Venezia;2
Dembele' A.;Torino;2
Jean;Lecce;2
Leoni;Parma;2
De Sciglio;Juventus;1
Di Chiara;Parma;1
Haps;Venezia;1
Terracciano F.;Milan;1
Ebosse;Udinese;1
Matturro;Genoa;1
Corazza;Bologna;1
Sazonov;Torino;1
Goglichidze;Empoli;1
Ilic M.;Bologna;1
Dellavalle;Torino;1
Ghilardi;Verona;1
Kovacik;Como;1
Sangare' B.;Roma;1
Lucchesi;Venezia;1
Marcandalli;Genoa;1
Rouhi;Juventus;1
Marianucci;Empoli;1
Pulisic;Milan;30
Calhanoglu;Inter;28
Koopmeiners;Juventus;28
Zaccagni;Lazio;27
Politano;Napoli;23
Colpani;Fiorentina;22
Pellegrini Lo.;Roma;21
Barella;Inter;21
Orsolini;Bologna;21
Man;Parma;21
Douglas Luiz;Juventus;20
Neres;Napoli;20
Frattesi;Inter;18
Loftus-Cheek;Milan;18
Samardzic;Atalanta;17
Ferguson;Bologna;17
Mkhitaryan;Inter;15
Ederson D.s.;Atalanta;15
Pasalic;Atalanta;14
Vlasic;Torino;14
Bernabe';Parma;14
Harroui;Verona;13
Fabbian;Bologna;13
Suslov;Verona;13
Zaniolo;Atalanta;12
Strefezza;Como;12
Da Cunha;Como;12
Frendrup;Genoa;12
Reijnders;Milan;12
Lazovic;Verona;11
Pessina;Monza;11
Malinovskyi;Genoa;11
Conceicao;Juventus;11
Zielinski;Inter;10
Freuler;Bologna;10
Guendouzi;Lazio;10
Zambo Anguissa;Napoli;10
Fagioli;Juventus;10
Chukwueze;Milan;10
Messias;Genoa;10
Thuram K.;Juventus;10
Ndoye;Bologna;10
Aebischer;Bologna;10
Lovric;Udinese;10
Le Fee;Roma;10
Cristante;Roma;9
Locatelli;Juventus;9
Lobotka;Napoli;9
Zurkowski;Empoli;9
Castrovilli;Lazio;9
Maldini;Monza;9
Ilic;Torino;9
Baldanzi;Roma;9
Tchaouna;Lazio;9
De Roon;Atalanta;8
Verdi;Como;8
Duncan;Venezia;8
Sottil;Fiorentina;8
Duda;Verona;8
Gaetano;Napoli;8
Amrabat;Fiorentina;8
Ricci S.;Torino;8
Oristanio;Venezia;8
Payero;Udinese;8
Tete Morente;Lecce;8
Richardson;Fiorentina;8
Badelj;Genoa;7
Vecino;Lazio;7
El Shaarawy;Roma;7
Mandragora;Fiorentina;7
Mazzitelli;Como;7
Bennacer;Milan;7
Rovella;Lazio;7
Weah;Juventus;7
Fofana Y.;Milan;7
Brescianini;Atalanta;7
Gyasi;Empoli;7
Karlsson;Bologna;7
Marchwinski;Lecce;7
Ekkelenkamp;Udinese;7
Paz N.;Como;7
Viola;Cagliari;6
Paredes;Roma;6
Sensi;Monza;6
Barak;Fiorentina;6
Valoti;Monza;6
Hernani;Parma;6
Marin;Cagliari;6
Mckennie;Juventus;6
Sohm;Parma;6
Busio;Venezia;6
Oudin;Lecce;6
Iling Junior;Bologna;6
Folorunsho;Napoli;6
Forson O.;Monza;6
Dele-Bashiru;Lazio;6
Karlstrom;Udinese;6
Fadera;Como;6
Gagliardini;Monza;5
Thorsby;Genoa;5
Henderson L.;Empoli;5
Ikone';Fiorentina;5
Tameze;Torino;5
Saelemaekers;Milan;5
Musah;Milan;5
Coulibaly L.;Lecce;5
Fazzini;Empoli;5
Ramadani;Lecce;5
Serdar;Verona;5
Deiola;Cagliari;4
Linetty;Torino;4
Kastanos;Verona;4
Kostic;Juventus;4
Estevez;Parma;4
Bove;Roma;4
Urbanski;Bologna;4
Maleh;Empoli;4
Bjarkason;Venezia;4
Asllani;Inter;4
Miretti;Genoa;4
Adli;Fiorentina;4
Ciurria;Monza;4
Bondo;Monza;4
Ellertsson;Venezia;4
Perrone;Como;4
Gineitis;Torino;4
Rafia;Lecce;4
El Azzouzi;Bologna;4
Makoumbou;Cagliari;4
Prati;Cagliari;4
Pierret;Lecce;4
Felici;Cagliari;4
Andersen M.k.;Venezia;4
Grassi;Empoli;3
Cataldi;Lazio;3
Baselli;Como;3
Jankto;Cagliari;3
Cyprien;Parma;3
Adopo;Cagliari;3
Zalewski;Roma;3
Vignato S.;Monza;3
Alidou;Verona;3
Moro N.;Bologna;3
Zarraga;Udinese;3
Dani Silva;Verona;3
Mitrovic S.;Verona;3
Braunoder;Como;3
Engelhardt;Como;3
Haas;Empoli;2
Nicolussi Caviglia;Venezia;2
Pobega;Bologna;2
Camara D.;Parma;2
Crnigoj;Venezia;2
Bianco;Fiorentina;2
Zerbin;Napoli;2
Sulemana I.;Atalanta;2
Belahyane;Verona;2
Anjorin;Empoli;2
Akpa Akpro;Lazio;1
Kone B.;Como;1
Bohinen;Genoa;1
Abildgaard;Como;1
Pisilli;Roma;1
Belardinelli;Empoli;1
Lella;Venezia;1
Kaba;Lecce;1
Zeroli;Milan;1
Buchanan T.;Inter;1
Adzic;Juventus;1
Liberali;Milan;1
Doumbia I.;Venezia;1
Byar;Bologna;1
Martinez L.;Inter;39
Vlahovic;Juventus;38
Osimhen;Napoli;34
Dybala;Roma;33
Lukaku;Napoli;33
Thuram;Inter;32
Kvaratskhelia;Napoli;30
Dovbyk;Roma;30
Scamacca;Atalanta;27
Lookman;Atalanta;27
Morata;Milan;26
Zapata D.;Torino;26
Gudmundsson A.;Fiorentina;26
Gonzalez N.;Juventus;24
Leao;Milan;24
Retegui;Atalanta;23
Castellanos;Lazio;22
De Ketelaere;Atalanta;21
Dallinga;Bologna;21
Kean;Fiorentina;20
Pinamonti;Genoa;19
Soule';Roma;19
Belotti;Como;16
Yildiz;Juventus;16
Krstovic;Lecce;16
Noslin;Lazio;16
Taremi;Inter;16
Adams C.;Torino;16
Sanchez;Udinese;15
Pohjanpalo;Venezia;15
Dia;Lazio;15
Piccoli;Cagliari;14
Lucca;Udinese;14
Colombo;Empoli;13
Simeone;Napoli;12
Abraham;Roma;12
Cambiaghi;Bologna;12
Luvumbo;Cagliari;12
Vitinha O.;Genoa;12
Okafor;Milan;12
Isaksen;Lazio;12
Tengstedt;Verona;12
Milik;Juventus;11
Thauvin;Udinese;11
Djuric;Monza;11
Sanabria;Torino;10
Cutrone;Como;10
Raspadori;Napoli;10
Almqvist;Parma;10
Beltran L.;Fiorentina;10
Mosquera;Verona;10
Lapadula;Cagliari;9
Caprari;Monza;9
Jovic;Milan;9
Odgaard;Bologna;9
Ekuban;Genoa;9
Mota;Monza;9
Ngonge;Napoli;9
Benedyczak;Parma;9
Bonny;Parma;9
Arnautovic;Inter;8
Mihaila;Parma;8
Banda;Lecce;8
Brenner;Udinese;8
Castro S.;Bologna;8
Cancellieri;Parma;6
Davis K.;Udinese;6
Rocha Livramento;Verona;6
Petagna;Monza;5
Shomurodov;Roma;5
Gytkjaer;Venezia;5
Mbangula;Juventus;5
Dominguez B.;Bologna;5
Rebic;Lecce;4
Pierini;Venezia;4
Kouame';Fiorentina;4
Esposito Se.;Empoli;4
Solbakken;Empoli;4
Sarr A.;Verona;4
Pierotti;Lecce;4
Tavsan;Verona;4
Bravo;Udinese;4
Pavoletti;Cagliari;3
Correa;Inter;3
